boundary_reason,games_processed,minutes_on,needs_on,opponent_dreb_off,opponent_dreb_on,opponent_oreb_off,opponent_oreb_on,opponent_rebounds_off,opponent_rebounds_on,player,player_id,query_end_date,query_start_date,season,seconds_off,seconds_on,segment_count,segment_index,source,team_abbr,team_dreb_off,team_dreb_on,team_games_in_window,team_id,team_oreb_off,team_oreb_on,team_rebounds_off,team_rebounds_on,treb_off,treb_on,treb_swing_pp,lock_engine,lock_code_commit,minutes_off,oreb_pct_on,oreb_pct_off,oreb_swing_pp,dreb_pct_on,dreb_pct_off,dreb_swing_pp
season_close,67,1224.2333333333333,False,1290,814,586,334,1876,1148,Tyrone Nesby,1838,2001-04-18,2000-11-29,2000-01,119506,73454,1,1,roster_tenure_v2,WAS,1274,784,67,1610612764,649,377,1923,1161,0.5061858383785207,0.5028150714595063,-0.33707669190143896,historical_recovered_completion,1b5b438387fdc914aa4712c37f305900f3f59e03,1991.7666666666667,0.3165407220822838,0.334708612686952,-1.8167890604668224,0.7012522361359571,0.6849462365591398,1.6305999576817332
season_close,12,131.83333333333334,False,302,71,118,32,420,103,Steve Goodrich,1864,2001-04-18,2001-03-27,2000-01,26650,7910,1,1,roster_tenure_v2,CHI,247,86,12,1610612741,101,45,348,131,0.453125,0.5598290598290598,10.670405982905983,historical_recovered_completion,1b5b438387fdc914aa4712c37f305900f3f59e03,444.1666666666667,0.3879310344827586,0.2506203473945409,13.73106870882177,0.7288135593220338,0.6767123287671233,5.2101230554910565
season_close,27,290.6333333333333,False,697,220,306,95,1003,315,Calvin Booth,1916,2001-04-18,2001-02-23,2000-01,60622,17438,1,1,roster_tenure_v2,DAL,716,222,27,1610612742,239,70,955,292,0.4877425944841675,0.48105436573311366,-0.6688228751053849,historical_recovered_completion,1b5b438387fdc914aa4712c37f305900f3f59e03,1010.3666666666667,0.2413793103448276,0.2553418803418803,-1.3962569997052725,0.7003154574132492,0.700587084148728,-0.027162673547875826
out_trade,55,638.7,False,1331,466,551,188,1882,654,Calvin Booth,1916,2001-02-22,2000-10-31,2000-01,120078,38322,1,1,roster_tenure_v2,WAS,1286,435,55,1610612764,622,183,1908,618,0.5034300791556728,0.4858490566037736,-1.758102255189925,historical_recovered_completion,1b5b438387fdc914aa4712c37f305900f3f59e03,2001.3,0.28197226502311246,0.318484383000512,-3.651211797739956,0.6982343499197432,0.7000544365813827,-0.1820086661639464
season_close,27,7.566666666666666,False,908,9,399,2,1307,11,Obinna Ekezie,1918,2001-04-18,2001-02-23,2000-01,77606,454,1,1,roster_tenure_v2,DAL,932,6,27,1610612742,307,2,1239,8,0.4866457187745483,0.42105263157894735,-6.559308719560097,historical_recovered_completion,1b5b438387fdc914aa4712c37f305900f3f59e03,1293.4333333333334,0.18181818181818182,0.25267489711934155,-7.085671530115972,0.75,0.7002253944402704,4.977460555972957
out_trade,15,63.68333333333333,True,462,48,186,20,648,68,Obinna Ekezie,1918,2000-11-28,2000-10-31,2000-01,39379,3821,2,1,roster_tenure_v2,WAS,454,44,15,1610612764,172,16,626,60,0.4913657770800628,0.46875,-2.2615777080062793,historical_recovered_completion,1b5b438387fdc914aa4712c37f305900f3f59e03,656.3166666666667,0.25,0.27129337539432175,-2.1293375394321745,0.6875,0.709375,-2.187499999999998
out_trade,39,210.5,True,1128,123,475,45,1603,168,Obinna Ekezie,1918,2001-02-22,2000-12-01,2000-01,99690,12630,2,2,roster_tenure_v2,WAS,1048,141,39,1610612764,535,66,1583,207,0.49686126804770875,0.552,5.51387319522913,historical_recovered_completion,1b5b438387fdc914aa4712c37f305900f3f59e03,1661.5,0.3492063492063492,0.3217077570655442,2.7498592140804967,0.7580645161290323,0.6881155613919895,6.994895473704277
season_close,57,571.8,False,1400,359,572,173,1972,532,Rodney Buford,1934,2001-04-18,2000-12-22,2000-01,131652,34308,1,1,roster_tenure_v2,PHI,1568,374,57,1610612755,695,195,2263,569,0.5343565525383707,0.516802906448683,-1.755364608968768,historical_recovered_completion,1b5b438387fdc914aa4712c37f305900f3f59e03,2194.2,0.351985559566787,0.3317422434367542,2.024331613003283,0.6837294332723949,0.7327102803738318,-4.89808471014369
out_depart,4,0.55,False,117,0,67,1,184,1,Andy Panko,1950,2001-01-13,2001-01-05,2000-01,11487,33,1,1,roster_tenure_v2,ATL,131,1,4,1610612737,53,0,184,1,0.5,0.5,0.0,historical_recovered_completion,1b5b438387fdc914aa4712c37f305900f3f59e03,191.45,,0.31176470588235294,,0.5,0.6616161616161617,-16.161616161616166
season_close,7,30.016666666666666,False,202,21,71,9,273,30,Raja Bell,1952,2001-04-18,2001-04-06,2000-01,18659,1801,1,1,roster_tenure_v2,PHI,218,22,7,1610612755,112,5,330,27,0.5472636815920398,0.47368421052631576,-7.357947106572399,historical_recovered_completion,1b5b438387fdc914aa4712c37f305900f3f59e03,310.98333333333335,0.19230769230769232,0.35668789808917195,-16.438020578147963,0.7096774193548387,0.754325259515571,-4.46478401607322
out_depart,15,182.95,True,396,138,135,34,531,172,Milt Palacio,1960,2001-01-05,2000-12-06,2000-01,32523,10977,2,1,roster_tenure_v2,BOS,335,125,15,1610612738,156,51,491,176,0.48043052837573386,0.5057471264367817,2.53165980610478,historical_recovered_completion,1b5b438387fdc914aa4712c37f305900f3f59e03,542.05,0.2698412698412698,0.2826086956521739,-1.2767425810904065,0.7861635220125787,0.7127659574468085,7.3397564565770175
out_depart,47,958.5,True,947,700,388,264,1335,964,Milt Palacio,1960,2001-04-18,2001-01-10,2000-01,78750,57510,2,2,roster_tenure_v2,BOS,837,640,47,1610612738,329,230,1166,870,0.4662135145941623,0.4743729552889858,0.8159440694823494,historical_recovered_completion,1b5b438387fdc914aa4712c37f305900f3f59e03,1312.5,0.24731182795698925,0.25783699059561127,-1.052516263862202,0.7079646017699115,0.683265306122449,2.469929564746254
season_close,4,39.95,False,99,26,50,16,149,42,Scott Burrell,197,2001-04-18,2001-04-10,2000-01,9123,2397,1,1,roster_tenure_v2,CHH,129,24,4,1610612766,53,8,182,32,0.5498489425981873,0.43243243243243246,-11.741651016575483,historical_recovered_completion,1b5b438387fdc914aa4712c37f305900f3f59e03,152.05,0.23529411764705882,0.34868421052631576,-11.339009287925695,0.6,0.7206703910614525,-12.06703910614525
season_close,5,56.4,False,131,44,53,13,184,57,Jamel Thomas,1975,2001-04-18,2001-04-06,2000-01,11016,3384,1,1,roster_tenure_v2,NJN,105,35,5,1610612751,48,19,153,54,0.4540059347181009,0.4864864864864865,3.24805517683856,historical_recovered_completion,1b5b438387fdc914aa4712c37f305900f3f59e03,183.6,0.30158730158730157,0.2681564245810056,3.343087700629599,0.7291666666666666,0.6645569620253164,6.460970464135018
