season,player_id,team_id,player,canonical_classification,current_selected_source_layer,covered_before_safe_lock,safe_lock_source_supplied,safe_lock_value_valid,newly_resolved_by_safe_lock,selected_source_layer_after_safe_lock,covered_after_safe_lock,team_oreb_on,team_dreb_on,opponent_oreb_on,opponent_dreb_on,team_oreb_off,team_dreb_off,opponent_oreb_off,opponent_dreb_off,seconds_on,seconds_off,games_processed,safe_treb_on,safe_treb_off,safe_treb_swing_pp,safe_lock_segment_rows,locked_treb_on,locked_treb_off,locked_treb_swing_pp,safe_vs_locked_on_diff_pp,safe_vs_locked_off_diff_pp,safe_vs_locked_swing_diff_pp,safe_vs_locked_max_abs_diff_pp,material_numeric_conflict_gt_0_01pp
2000-01,1735,1610612751,Vladimir Stepania,partial,older_locked_completed_export,True,True,True,False,older_locked_completed_export,True,94,221,55,216,712,1650,814,1859,16751,156649,60,0.537542662116041,0.469116186693148,6.842647542289298,1,0.537542662116041,0.469116186693148,6.842647542289298,0.0,0.0,0.0,0.0,False
2000-01,1110,1610612751,Mark Strickland,partial,older_locked_completed_export,True,True,True,False,older_locked_completed_export,True,72,133,64,139,59,131,69,163,12136,13784,9,0.5024509803921569,0.45023696682464454,5.221401356751231,1,0.5024509803921569,0.45023696682464454,5.221401356751231,0.0,0.0,0.0,0.0,False
2000-01,1563,1610612751,Kevin Ollie,partial,older_locked_completed_export,True,True,True,False,older_locked_completed_export,True,44,90,51,125,247,586,262,652,9700,53660,22,0.432258064516129,0.47681740125930167,-4.455933674317264,1,0.432258064516129,0.47681740125930167,-4.455933674317264,0.0,0.0,0.0,0.0,False
2000-01,2109,1610612751,Eddie Gill,partial,older_locked_completed_export,True,True,True,False,older_locked_completed_export,True,48,91,39,111,64,140,77,156,9132,13908,8,0.4809688581314879,0.4668192219679634,1.4149636163524493,1,0.4809688581314879,0.4668192219679634,1.4149636163524493,0.0,0.0,0.0,0.0,False
2000-01,1975,1610612751,Jamel Thomas,partial,older_locked_completed_export,True,True,True,False,older_locked_completed_export,True,19,35,13,44,48,105,53,131,3384,11016,5,0.4864864864864865,0.4540059347181009,3.24805517683856,1,0.4864864864864865,0.4540059347181009,3.24805517683856,0.0,0.0,0.0,0.0,False
2000-01,164,1610612752,Chris Childs,partial,older_locked_completed_export,True,True,True,False,older_locked_completed_export,True,281,887,370,840,317,851,305,851,78377,76063,53,0.4911690496215307,0.5025817555938038,-1.1412705972273118,1,0.4911690496215307,0.5025817555938038,-1.1412705972273118,0.0,0.0,0.0,0.0,False
2000-01,349,1610612752,Mark Jackson,partial,older_locked_completed_export,True,True,True,False,older_locked_completed_export,True,177,556,211,553,148,438,157,382,47071,37349,29,0.48964595858383436,0.5208888888888888,-3.1242930305054486,1,0.48964595858383436,0.5208888888888888,-3.1242930305054486,0.0,0.0,0.0,0.0,False
2000-01,970,1610612752,Othella Harrington,partial,older_locked_completed_export,True,True,True,False,older_locked_completed_export,True,140,400,145,336,290,948,354,953,32909,84091,40,0.5288932419196866,0.4864440078585462,4.2449234061140375,1,0.5288932419196866,0.4864440078585462,4.2449234061140375,0.0,0.0,0.0,0.0,False
2000-01,1065,1610612752,Erick Strickland,partial,older_locked_completed_export,True,True,True,False,older_locked_completed_export,True,123,296,109,256,370,1088,435,1081,25276,96584,42,0.5344387755102041,0.4902488231338265,4.418995237637763,1,0.5344387755102041,0.4902488231338265,4.418995237637763,0.0,0.0,0.0,0.0,False
2000-01,1594,1610612752,Rick Brunson,partial,older_locked_completed_export,True,True,True,False,older_locked_completed_export,True,22,46,23,41,744,2220,839,2127,3921,194319,68,0.5151515151515151,0.49983136593591904,1.5320149215596102,1,0.5151515151515151,0.49983136593591904,1.5320149215596102,0.0,0.0,0.0,0.0,False
