season,source_type,ref,file,rows
2009-10,historical_exact_batch,refs/remotes/origin/treb-game-facts-2009-batch-003,team_game_treb,190
2009-10,historical_exact_batch,refs/remotes/origin/treb-game-facts-2009-batch-003,player_game_treb_on,1895
2009-10,historical_exact_batch,refs/remotes/origin/treb-game-facts-2009-batch-004,team_game_treb,192
2009-10,historical_exact_batch,refs/remotes/origin/treb-game-facts-2009-batch-004,player_game_treb_on,1922
2009-10,historical_exact_batch,refs/remotes/origin/treb-game-facts-2009-batch-005,team_game_treb,194
2009-10,historical_exact_batch,refs/remotes/origin/treb-game-facts-2009-batch-005,player_game_treb_on,1942
2009-10,historical_exact_batch,refs/remotes/origin/treb-game-facts-2009-batch-006,team_game_treb,198
2009-10,historical_exact_batch,refs/remotes/origin/treb-game-facts-2009-batch-006,player_game_treb_on,2008
2009-10,historical_exact_batch,refs/remotes/origin/treb-game-facts-2009-batch-007,team_game_treb,194
2009-10,historical_exact_batch,refs/remotes/origin/treb-game-facts-2009-batch-007,player_game_treb_on,1970
2009-10,historical_exact_batch,refs/remotes/origin/treb-game-facts-2009-batch-008,team_game_treb,194
2009-10,historical_exact_batch,refs/remotes/origin/treb-game-facts-2009-batch-008,player_game_treb_on,1930
2009-10,historical_exact_batch,refs/remotes/origin/treb-game-facts-2009-batch-009,team_game_treb,188
2009-10,historical_exact_batch,refs/remotes/origin/treb-game-facts-2009-batch-009,player_game_treb_on,1895
2009-10,historical_exact_batch,refs/remotes/origin/treb-game-facts-2009-batch-010,team_game_treb,190
2009-10,historical_exact_batch,refs/remotes/origin/treb-game-facts-2009-batch-010,player_game_treb_on,1926
2009-10,historical_exact_batch,refs/remotes/origin/treb-game-facts-2009-batch-011,team_game_treb,192
2009-10,historical_exact_batch,refs/remotes/origin/treb-game-facts-2009-batch-011,player_game_treb_on,1927
2009-10,historical_exact_batch,refs/remotes/origin/treb-game-facts-2009-batch-012,team_game_treb,50
2009-10,historical_exact_batch,refs/remotes/origin/treb-game-facts-2009-batch-012,player_game_treb_on,505
2009-10,exact_repair_wave1,refs/remotes/origin/treb-game-fact-repair-wave1,team_game_treb,62
2009-10,exact_repair_wave1,refs/remotes/origin/treb-game-fact-repair-wave1,player_game_treb_on,630
2009-10,exact_fast_final_repair,refs/remotes/origin/treb-fast-final-repair-wave,team_game_treb,26
2009-10,exact_fast_final_repair,refs/remotes/origin/treb-fast-final-repair-wave,player_game_treb_on,247
