season,player_id,team_id,player,canonical_classification,locked_segment_count,locked_source_supplied,expected_team_games,exact_team_games,expected_player_games,exact_player_games,exact_full_core_sufficient,locked_source_superseded_by_exact,selected_source_layer,covered_after_this_overlay
2000-01,2054,1610612756,Jake Tsakalidis,full_core,0,0,82,0,57,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
2000-01,2057,1610612757,Erick Barkley,full_core,0,0,82,0,8,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
2000-01,2058,1610612747,Mark Madsen,full_core,0,0,82,0,69,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
2000-01,2059,1610612742,Eduardo Najera,full_core,0,0,82,0,40,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
2000-01,2061,1610612745,Dan Langhi,full_core,0,0,82,0,33,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
2000-01,2062,1610612741,A.J. Guyton,full_core,0,0,82,0,33,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
2000-01,2063,1610612741,Jake Voskuhl,full_core,0,0,82,0,16,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
2000-01,2066,1610612751,Soumaila Samake,full_core,0,0,82,0,34,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
2000-01,2067,1610612748,Eddie House,full_core,0,0,82,0,50,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
2000-01,2068,1610612752,Lavor Postell,full_core,0,0,82,0,26,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
2000-01,2069,1610612737,Hanno Mottola,full_core,0,0,82,0,73,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
2000-01,2071,1610612760,Olumide Oyedeji,full_core,0,0,82,0,30,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
2000-01,2072,1610612749,Michael Redd,full_core,0,0,82,0,6,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
